2017-08-29 18:02:30,290 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: net.kzn:onlineshopping:0.0.1-SNAPSHOT @ D:\MYNEWWS\onlineshopping\pom.xml.
2017-08-29 18:02:30,290 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: net.kzn:onlineshopping:0.0.1-SNAPSHOT @ D:\MYNEWWS\onlineshopping\pom.xml.
2017-08-29 18:02:30,323 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.kzn:shoppingbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-08-29 18:02:30,324 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.kzn:shoppingbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-08-29 18:02:32,310 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.kzn:shoppingbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-08-29 18:02:35,935 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-29 18:02:35,973 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-08-29 18:02:36,024 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-29 18:02:36,045 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\MYNEWWS\onlineshopping\src\test\resources
2017-08-29 18:02:40,152 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: net.kzn:onlineshopping:0.0.1-SNAPSHOT @ D:\MYNEWWS\onlineshopping\pom.xml.
2017-08-29 18:02:40,161 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.kzn:shoppingbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
